67<|>http://pandas.pydata.org/<|>pandas<|>pandas http://pandas.pydata.org/ : library providing high-performance, easy-to-use data structures and data analysis tools<|>7<|>32<|>0<|>6<|>67<|>software
70<|>http://www.rubydoc.info/github/heartcombo/devise/main/Devise/Models/Validatable<|>Validatable<|>Validatable http://www.rubydoc.info/github/heartcombo/devise/main/Devise/Models/Validatable : provides validations of email and password. It's optional and can be customized, so you're able to define your own validations.<|>12<|>91<|>0<|>11<|>70<|>software
155<|>http://scikit-learn.org/stable/tutorial/statistical_inference/settings.html#datasets<|>supervised dataset format<|>and  above have the now-standard scikit-learn supervised dataset format http://scikit-learn.org/stable/tutorial/statistical_inference/settings.html#datasets . This means we can use any classifier that satisfies the scikit-learn API. Below, we use a simple wrapper around the scikit-learn .<|>72<|>156<|>46<|>71<|>155<|>other
155<|>http://conda.pydata.org/miniconda.html<|>miniconda<|>Though you can install all the requirements yourself, as most are available in the Python Package Index (PyPI) and can be installed with simple commands, the easiest way to get up and running is to use miniconda http://conda.pydata.org/miniconda.html . Once you have the  command, you can create a fully-functional gala environment with  (inside the gala directory).<|>212<|>250<|>202<|>211<|>155<|>software
189<|>http://simongog.github.io/assets/data/sdsl-slides/tutorial<|>tutorial<|>Next we suggest you look at the comprehensive tutorial http://simongog.github.io/assets/data/sdsl-slides/tutorial  which describes all major features of the library or look at some of the provided examples examples .<|>55<|>113<|>46<|>54<|>189<|>other
189<|>http://simongog.github.io/assets/data/sdsl-slides/tutorial<|>tutorial slides and walk-through<|>We provide a large collection of supporting documentation consisting of examples, cheat sheet http://simongog.github.io/assets/data/sdsl-cheatsheet.pdf , tutorial slides and walk-through http://simongog.github.io/assets/data/sdsl-slides/tutorial .<|>187<|>245<|>154<|>186<|>189<|>other
189<|>http://simongog.github.io/assets/data/sdsl-slides/tutorial<|>presentation<|>A tutorial presentation http://simongog.github.io/assets/data/sdsl-slides/tutorial  with the example code tutorial/  using in the sides demonstrating all features of the library in a step-by-step walk-through.<|>24<|>82<|>11<|>23<|>189<|>other
231<|>http://www.tuhh.de/ibb/publications/databases-and-software.html<|>TUHH website<|>The program expects a network represented as an edgelist file. Such a file contains the list of all edges constituting the network, under the form of pairs of node ids. The nodes numbering must start from zero. For testing purposes, it is possible to generate a dummy network by setting  to  in . The original networks from [GA'05] are included in the folder data (or at least, networks very similar to the ones described in the article), also for testing purposes. They were retrieved from the TUHH website http://www.tuhh.de/ibb/publications/databases-and-software.html .<|>508<|>571<|>495<|>507<|>231<|>dataset_landing_page
269<|>http://grouplens.org/datasets/movielens/<|>Movielens dataset GroupLens<|>Movielens dataset GroupLens http://grouplens.org/datasets/movielens/<|>28<|>68<|>0<|>27<|>269<|>dataset_landing_page
269<|>http://law.di.unimi.it/datasets.php<|>Laboratory for Web Algorithms<|>Laboratory for Web Algorithms http://law.di.unimi.it/datasets.php<|>30<|>65<|>0<|>29<|>269<|>dataset_landing_page
269<|>http://stat-computing.org/dataexpo/2009/<|>Airline on time performance<|>Airline on time performance http://stat-computing.org/dataexpo/2009/<|>28<|>68<|>0<|>27<|>269<|>dataset_landing_page
269<|>http://snap.stanford.edu/data/index.html<|>Stanford Large Network Dataset (SNAP)<|>Stanford Large Network Dataset (SNAP) http://snap.stanford.edu/data/index.html<|>38<|>78<|>0<|>37<|>269<|>dataset_landing_page
269<|>http://aws.amazon.com/datasets<|>Amazon Web Services public datasets<|>Amazon Web Services public datasets http://aws.amazon.com/datasets<|>36<|>66<|>0<|>35<|>269<|>dataset_landing_page
301<|>http://shuyo.wordpress.com/2012/03/02/estimation-of-ldig-twitter-language-detection-for-liga-dataset/<|>Estimation of ldig (twitter Language Detection) for LIGA dataset<|>Estimation of ldig (twitter Language Detection) for LIGA dataset http://shuyo.wordpress.com/2012/03/02/estimation-of-ldig-twitter-language-detection-for-liga-dataset/<|>65<|>166<|>0<|>64<|>301<|>other
314<|>https://github.com/RDFLib/pymicrodata<|>pymicrodata<|>pymicrodata https://github.com/RDFLib/pymicrodata  - A module to extract RDF from an HTML5 page annotated with microdata.<|>12<|>49<|>0<|>11<|>314<|>software
346<|>https://github.com/jamesrobertlloyd/gpss-research/tree/master/data/tsdlr_5050<|>Interpolation<|>Interpolation https://github.com/jamesrobertlloyd/gpss-research/tree/master/data/tsdlr_5050<|>14<|>91<|>0<|>13<|>346<|>dataset_landing_page
346<|>https://github.com/jamesrobertlloyd/gpss-research/tree/master/data/tsdlr_9010<|>Extrapolation<|>Extrapolation https://github.com/jamesrobertlloyd/gpss-research/tree/master/data/tsdlr_9010<|>14<|>91<|>0<|>13<|>346<|>dataset_landing_page
374<|>http://nilm-metadata.readthedocs.org/en/latest/tutorial.html<|>tutorial<|>If you're new to NILM Metadata then please read this README and then dive into the tutorial http://nilm-metadata.readthedocs.org/en/latest/tutorial.html  to find out how to see a worked example.<|>92<|>152<|>83<|>91<|>374<|>other
374<|>https://github.com/nilmtk/nilm_metadata/tree/v0.1.0<|>version 0.1 of the schema<|>In version 0.1 of the schema https://github.com/nilmtk/nilm_metadata/tree/v0.1.0 , we wrote a very comprehensive (and complex) schema using JSON Schema http://json-schema.org/  in order to automate the validation of metadata instances. JSON Schema is a lovely language and can capture everything we need but, because our metadata is quite comprehensive, we found that using JSON Schema was a significant time drain and made it hard to move quickly and add new ideas to the metadata. As such, when we moved from v0.1 to v0.2, the JSON Schema has been dropped. Please use the human-readable documentation http://nilm-metadata.readthedocs.org  instead. If there is a real desire for automated validation then we could resurrect the JSON Schema, but it is a fair amount of work to maintain.<|>29<|>80<|>3<|>28<|>374<|>software
374<|>https://github.com/nilmtk/nilm_metadata/issues/6<|>issue #6<|>Please do  use  until I have updated  to copy the relevant  files. See issue #6 https://github.com/nilmtk/nilm_metadata/issues/6 .<|>80<|>128<|>71<|>79<|>374<|>other
374<|>http://nilm-metadata.readthedocs.org<|>human-readable documentation<|>In version 0.1 of the schema https://github.com/nilmtk/nilm_metadata/tree/v0.1.0 , we wrote a very comprehensive (and complex) schema using JSON Schema http://json-schema.org/  in order to automate the validation of metadata instances. JSON Schema is a lovely language and can capture everything we need but, because our metadata is quite comprehensive, we found that using JSON Schema was a significant time drain and made it hard to move quickly and add new ideas to the metadata. As such, when we moved from v0.1 to v0.2, the JSON Schema has been dropped. Please use the human-readable documentation http://nilm-metadata.readthedocs.org  instead. If there is a real desire for automated validation then we could resurrect the JSON Schema, but it is a fair amount of work to maintain.<|>603<|>639<|>574<|>602<|>374<|>other
374<|>http://nilm-metadata.readthedocs.org/en/latest/dataset_metadata.html<|>Dataset metadata<|>Or, if you are already familiar with NILM Metadata then perhaps you want direct access to the full description of the " Dataset metadata http://nilm-metadata.readthedocs.org/en/latest/dataset_metadata.html ".<|>137<|>205<|>120<|>136<|>374<|>other
374<|>http://nilm-metadata.readthedocs.org<|>documentation is available online<|>The documentation is available online http://nilm-metadata.readthedocs.org .<|>38<|>74<|>4<|>37<|>374<|>other
395<|>http://datatracker.ietf.org/doc/draft-ietf-ppsp-peer-protocol/<|>video streaming<|>Tribler https://github.com/Tribler/tribler/wiki  Aims to create a censorship-free Internet. Already deployed, used and incrementally improved for 8-years. Tribler uses an upcoming IETF Internet Standard for video streaming http://datatracker.ietf.org/doc/draft-ietf-ppsp-peer-protocol/  and is backward compatible with Bittorrent. Future aim is using smartphones to even bypass Internet kill switches. An early proof-of-principle Tribler-mobile https://play.google.com/store/apps/details?id=org.tribler.mobile  is available on the Android Market. Key principle http://www.foxnews.com/tech/2012/02/10/forget-megaupload-researchers-call-new-file-sharing-network-invincible/ : 'the only way to take it down is to take The Internet down'. Overview paper http://sigmm.org/records/records1201/featured03.html .<|>223<|>285<|>207<|>222<|>395<|>other
446<|>https://en.wikipedia.org/wiki/Rope_%28data_structure%29<|>rope data structure<|>RopeBWT2 keeps the entire BWT in six B+ trees with the -th tree storing the substring B[C(i)+1..C(i+1)], where C(i) equals the number of symbols lexicographically smaller than . In each B+ tree, an internal node keeps the count of symbols in the subtree descending from it; an external node keeps a BWT substring in the run-length encoding. The B+ tree achieve a similar purpose to the rope data structure https://en.wikipedia.org/wiki/Rope_%28data_structure%29 , which enables efficient query and insertion. RopeBWT2 uses this rope-like data structure to achieve incremental construction. This is where word 'rope' in ropeBWT2 comes from.<|>406<|>461<|>386<|>405<|>446<|>other
454<|>http://conda.pydata.org/miniconda.html<|>Miniconda<|>The Miniconda http://conda.pydata.org/miniconda.html  tool first needs to installed:<|>14<|>52<|>4<|>13<|>155<|>software
454<|>http://conda.pydata.org/<|>conda<|>To simplify the build we now use the conda-build http://conda.pydata.org/docs/build.html  tool. The resulting binary is uploaded to the flyem binstar channel https://binstar.org/flyem , and can be installed using the conda http://conda.pydata.org/  package manager. The installation will install all of the neuroproof binaries (including the interactive tool) and the python libraries.<|>223<|>247<|>217<|>222<|>454<|>software
454<|>http://conda.pydata.org/docs/build.html<|>conda-build<|>To simplify the build we now use the conda-build http://conda.pydata.org/docs/build.html  tool. The resulting binary is uploaded to the flyem binstar channel https://binstar.org/flyem , and can be installed using the conda http://conda.pydata.org/  package manager. The installation will install all of the neuroproof binaries (including the interactive tool) and the python libraries.<|>49<|>88<|>37<|>48<|>454<|>other
559<|>https://github.com/SIMEXP/glm_connectome/blob/master/real_data/BLIND_pipeline_region_growing.m<|>region growing<|>The region growing https://github.com/SIMEXP/glm_connectome/blob/master/real_data/BLIND_pipeline_region_growing.m  pipeline.<|>19<|>113<|>4<|>18<|>559<|>dataset_landing_page
559<|>https://github.com/SIMEXP/glm_connectome/blob/master/real_data/BLIND_pipeline_basc_MSTEPS.m<|>Boostrap Analysis of Stable Clusters<|>The Boostrap Analysis of Stable Clusters https://github.com/SIMEXP/glm_connectome/blob/master/real_data/BLIND_pipeline_basc_MSTEPS.m  pipeline, with scales selected by MSTEPS.<|>41<|>132<|>4<|>40<|>559<|>dataset_landing_page
559<|>https://github.com/SIMEXP/glm_connectome/blob/master/real_data/BLIND_pipeline_MSPC_regular_grid.m<|>Multiscale Statistical Parametric Connectome<|>The Multiscale Statistical Parametric Connectome https://github.com/SIMEXP/glm_connectome/blob/master/real_data/BLIND_pipeline_MSPC_regular_grid.m  pipeline.<|>49<|>146<|>4<|>48<|>559<|>dataset_landing_page
559<|>https://github.com/SIMEXP/glm_connectome/blob/master/real_data/BLIND_pipeline_MSPC_MSTEPS.m<|>Multiscale Statistical Parametric Connectome<|>The Multiscale Statistical Parametric Connectome https://github.com/SIMEXP/glm_connectome/blob/master/real_data/BLIND_pipeline_MSPC_MSTEPS.m  pipeline, with scales selected by MSTEPS.<|>49<|>140<|>4<|>48<|>559<|>dataset_landing_page
559<|>https://github.com/SIMEXP/glm_connectome/blob/master/real_data/MOTOR_pipeline_preprocess.m<|>preprocessing<|>The preprocessing https://github.com/SIMEXP/glm_connectome/blob/master/real_data/MOTOR_pipeline_preprocess.m  pipeline.<|>18<|>108<|>4<|>17<|>559<|>dataset_landing_page
